final_price,available_for_delivery,available_for_pickup,brand,review_count,product_id,product_name,category_name,root_category_name,tags,rating,unit_price,sizes,colors,seller,initial_price,categories,date,discount_numeric,discount_percent,one_star,two_stars,three_stars,four_stars,five_stars
36.98,True,False,Grande Cosmetics,6356,908232424,"Grande Cosmetics GrandeLash MD Eyelash Formula, 2mL (New Packaging)",Eyelash Enhancer,Beauty,"[""Best seller""]",4.6,,"[""2 mL""]",[],2H ███mer███,68.0,"[""Beauty"",""Makeup"",""Eye Makeup"",""Mascara"",""Eyelash Enhancer""]",2024-08-24,31.02,45.62,298,113,186,414,5345
46.49,True,False,nuLOOM,49,904020893,nuLOOM Vintage Erline Area Rug,Floor Decor,Home,"[""Reviewers highlighted: colors, price, design""]",4.7,,"[""2' 6\"" x 10'""]","[""Black"",""Multi""]",Din███s,56.2,"[""Home"",""Decor"",""Floor Decor""]",2024-08-24,9.71,17.28,2,1,1,3,42
123.0,True,False,Georgia Boot,242,17245067,Georgia Giant Work Boot Size 10.5(W),Mens Wide Shoes,Clothing,,4.5,,"[""6.5"",""7"",""7.5"",""8"",""8.5"",""9"",""9.5"",""10"",""10.5"",""11"",""11.5"",""12"",""13"",""14"",""15"",""16"",""17""]","[""Brown""]",Cou███y O███itt███,178.53,"[""Clothing"",""Shoes"",""Mens Shoes"",""Mens Wide Shoes""]",2024-08-24,55.53,31.1,6,10,15,34,177
49.5,True,False,Amay's,8,2363655537,Amay 800 Thread Count 100% Organic Cotton Short Queen Size 1PC Flat Sheet (90x102 ) Pink Striped,Colored Sheets,Home,"[""Reduced price""]",5.0,,"[""King Pillowcases(20x40)"",""Queen Pillowcases(20x30 )"",""Twin(66x96)"",""Twin XL(70x102)"",""Full(81x96)"",""Olympic Queen( 90x102)"",""Queen( 90x102)"",""Short Queen( 90x102)"",""California king(102x110)"",""King(102x108)"",""RV King(102x108)"",""Split King(102x108)"",""Emperor(110x125)"",""Grand King(110x125)"",""Alaska King(125x125)""]","[""Aqua Blue"",""Beige"",""Black"",""Burgundy"",""Chocolate"",""Dark Grey"",""Gold"",""Gray"",""Hot Pink"",""Ivory"",""Lavender"",""Light Blue"",""Navy Blue"",""Orange"",""Parrot Green"",""Peach"",""Pink"",""Purple"",""Red"",""Royal Blue"",""Sage"",""Silver Gray"",""Silver Grey"",""Taupe"",""Teal"",""Turquoise"",""White"",""Wine"",""Yellow""]",AMA███EXT███S,55.0,"[""Home"",""Bedding"",""Bed Sheets & Pillowcases"",""Colored Sheets""]",2024-08-24,5.5,10.0,0,0,0,0,8
44.88,True,False,Hard Tail,11,5702032013,"Hard Tail Women's French Terry Sweatshirt and Pant Set, 2-Piece, Sizes S-3X",Womens Two Piece Sets,Clothing,"[""Flash Deal""]",4.2,,"[""S"",""M"",""L"",""XL"",""1X"",""XXL"",""2X"",""3X""]","[""Chiseled Stone"",""Coca Mocha"",""Deep Depths"",""Sandshell""]",Maj███Lab███Gro█████████,59.88,"[""Clothing"",""Womens Clothing"",""Womens Two Piece Sets""]",2024-08-24,15.0,25.05,0,2,1,1,7
14.99,True,False,The Little Mermaid,9,781490570,Men's The Little Mermaid Vintage Characters  Graphic Tee Turquoise Medium,Men's Disney Tees,Clothing,"[""Reduced price""]",5.0,,"[""Big & Tall"",""Men"",""S"",""M"",""L"",""XL"",""2XL"",""3XL""]","[""Light Blue"",""Turquoise""]",Top███es ███are███,18.99,"[""Clothing"",""Graphics Shop"",""Graphic Tees"",""Disney Tees"",""Men's Disney Tees""]",2024-08-24,4.0,21.06,0,0,0,0,9
14.99,True,False,Aiyino,2,1341833689,Aiyino Women's High Waist Yoga Pants Tummy Control Slimming Booty Leggings Workout Running Butt Lift Tights,Womens Workout Bottoms,Clothing,"[""Clearance""]",3.0,,"[""S"",""M"",""L"",""XL"",""2XL""]","[""Black"",""KD Black"",""KD PS Grey"",""PS Grey""]",Aiy███,16.99,"[""Clothing"",""Womens Clothing"",""Womens Activewear"",""Womens Workout Bottoms"",""Womens Workout Bottoms""]",2024-08-24,2.0,11.77,1,0,0,0,1
19.99,True,False,Jockey,86,3813188391,Jockey Women's Rib Knit Tee,Tshirts for Women,Clothing,"[""Reduced price""]",4.0,,"[""XS"",""S"",""M"",""L"",""XL"",""1X"",""2XL"",""3XL""]","[""Black"",""Dusk Blue Heather"",""Dusty Mauve"",""Light Grey Heather"",""Mountain Green"",""Oatmeal Heather"",""Warm Cider"",""White""]",Joc███,34.0,"[""Clothing"",""Womens Clothing"",""Womens Tops"",""Tshirts for Women"",""Tshirts for Women""]",2024-08-24,14.01,41.21,8,8,7,13,50
64.99,True,False,Bare Home,483,5292666872,"Bare Home Cozy Fleece Sheet Set - Extra Plush Polar Fleece - Deep Pocket - Split King, Black",Colored Sheets,Home,,4.8,,"[""Twin"",""Twin-XL"",""Full"",""Queen"",""King"",""California King"",""Full-XL"",""Split Head Flex King"",""Split King""]","[""Black"",""Cocoa"",""Coronet Blue"",""Cream"",""Cypress"",""Dark Blue"",""Forest Green"",""Gray"",""Light Blue"",""Light Gray"",""Light Pink"",""Red"",""Sand"",""Taupe"",""White""]",Bar███ome███,77.99,"[""Home"",""Bedding"",""Bed Sheets & Pillowcases"",""Colored Sheets""]",2024-08-24,13.0,16.67,10,5,12,32,424
11.89,True,False,Zenana,131,1897403279,Zenana Womens & Plus Stretch Cotton Foldover Waist Bootcut Workout Yoga Pants,Cycling Pants,Sports & Outdoors,"[""Flash Deal""]",3.7,,"[""S"",""M"",""L"",""XL"",""1X"",""2X"",""3X"",""Large"",""Medium"",""Small"",""X"",""X-Large""]","[""2PK: Ash Grey/Charcoal"",""2PK: Ash Mocha/Deep Camel"",""2PK: Ash Rose/Magenta"",""2PK: Black/White"",""2PK: Charcoal/ Grey"",""2PK: Charcoal/Grey"",""2PK: DK Olive/LT Olive"",""2PK: Deep Sky/Spring Blue"",""2PK: LT Navy/LT Olive"",""2PK: LT Navy/Mint"",""2PK: NAVY/TEAL"",""2PK: Neon Coral/ Mauve"",""2PK: Neon Coral/H Mauve"",""2PK: Neon Coral/Mauve"",""2PK: Olive Mustard/Khaki"",""2PK: Ruby/Magenta"",""2PK:Bone/ Beige"",""2PK:Bone/Beige"",""2PK:Bone/H Beige"",""3PK: Ash Rose/Ruby/DK Burgundy"",""3PK: Black/Charcoal/ Grey"",""3PK: Black/Charcoal/Grey"",""3PK: Black/Charcoal/H Grey"",""3PK: Black/Charcoal/White"",""ASH MUSTARD"",""ASH OLIVE"",""Americano"",""Army Green"",""Ash Grey"",""Ash Mocha"",""Ash Rose"",""Beige"",""Black"",""Blue Grey"",""Bone"",""Charcoal"",""Copper"",""DK Burgundy"",""DK Olive"",""DK Plum"",""DK Rust"",""Deep Camel"",""Deep Sky"",""Denim Blue"",""Desert Rose"",""Dusty Banana"",""Dusty Teal"",""Eggplant"",""Fuchsia"",""Green"",""Grey"",""H Beige"",""H Mauve"",""Hunter Green"",""Ivory"",""KHAKI"",""LT NAVY"",""LT Olive"",""Magenta"",""Mauve"",""Mint"",""Mocha"",""Navy"",""Neon Coral"",""Olive Mustard"",""Ruby"",""Spring Blue"",""Teal"",""White""]",The███ely███,17.99,"[""Sports & Outdoors"",""Bikes"",""Bike Apparel & Footwear"",""Cycling Pants""]",2024-08-24,6.1,33.91,24,10,14,12,71
15.99,True,False,SONGMICS,58,2138573500,SONGMICS 3-Tier Shoe Rack with Shelves for Closet Entryway Black,Shoe Racks,Home,"[""Clearance""]",4.4,,"[""2 tier"",""3 tier"",""4 tier"",""5 Tiers"",""10 tier""]","[""Black""]",SON███CS ███E,39.99,"[""Home"",""Storage & Organization"",""Closet Organizers"",""shoe storage"",""Shoe Racks""]",2024-08-25,24.0,60.02,3,5,0,10,40
13.99,True,False,MOSHU,1667,5219131585,MOSHU Summer Womens Tank Tops U Neck Casual Flowy Sleeveless Shirts for Women,Womens Tank Tops,Clothing,"[""Best seller"",""Reduced price""]",4.5,,"[""S"",""M"",""L"",""XL"",""2XL"",""3XL""]","[""4-st Clover"",""Black"",""Coffee"",""Coral"",""Dark Green"",""Dark Purple"",""Gray"",""Grey Blue"",""Lake Blue"",""Ligth Green"",""Navy"",""Purple"",""White""]",MOSHU,35.99,"[""Clothing"",""Womens Clothing"",""Womens Tops"",""Womens Tank Tops"",""Womens Tank Tops""]",2024-08-24,22.0,61.13,68,54,80,171,1294
23.93,True,False,G-Style USA,1,871530694,Victorious Men's Skinny Fit Unwashed Raw Denim Jeans DL938 - Indigo - 32/30,Mens Slim Fit Jeans,Clothing,"[""Best seller""]",5.0,,"[""28/30"",""30/30"",""30/32"",""32/30"",""32/32"",""34/30"",""34/32"",""36/30"",""36/32"",""38/30"",""38/32"",""40/30"",""40/32"",""42/30"",""42/32"",""44/30"",""44/32""]","[""Black"",""Black/Timber"",""Charcoal"",""Gray"",""Indigo"",""Indigo/Timber"",""Khaki"",""Wheat""]",G-S███e U███,26.95,"[""Clothing"",""Mens Clothing"",""Mens Jeans"",""Mens Slim Fit Jeans""]",2024-08-24,3.02,11.21,0,0,0,0,1
22.09,True,False,Deerlux,8,891036133,"16"" Handwoven Cotton Throw Pillow Cover with Tufted designs and Side Tassels",Throw Pillow Covers,Home,"[""Reduced price""]",4.4,,"[""Border"",""Border with Cushion"",""Circle"",""Circle with Cushion"",""Dots"",""Dots with Cushion"",""Geometric"",""Geometric with Cushion"",""Line"",""Line with Cushion"",""Star"",""Star with Cushion""]","[""Border"",""Border With Cushion"",""Circle"",""Circle With Cushion"",""Dots"",""Dots With Cushion"",""Geometric"",""Geometric With Cushion"",""Line"",""Line With Cushion"",""Star"",""Star With Cushion""]",Unb███abl███le,27.25,"[""Home"",""Decor"",""Decorative Pillows"",""Throw Pillow Covers""]",2024-08-24,5.16,18.94,0,0,1,3,4
29.99,True,False,X Ray Jeans,1,1774083175,"X RAY JEANS Mens Five Pocket Commuter Pants, Fig, 34X32",Mens Jeans,Clothing,"[""Reduced price""]",5.0,,"[""28x30"",""30X30"",""30X32"",""32X30"",""32X32"",""33X32"",""34X30"",""34X32"",""36X30"",""36X32"",""36x34"",""38X32"",""38x34"",""40X32"",""40x34"",""42x32"",""42x34"",""44x34"",""46x34"",""48x34""]","[""Black"",""FIG"",""Gray"",""KHAKI"",""MIDNIGHT BLUE"",""NAVY"",""OLIVE"",""STONE"",""White""]",XRA███EAN███,34.99,"[""Clothing"",""Mens Clothing"",""Mens Jeans"",""Mens Jeans""]",2024-08-24,5.0,14.29,0,0,0,0,1
